ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Days_Since_Customer,Total_Spending,Income_segment,Spending_segment,Recency_segment
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,453,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,453,1093,High income,High spending,Moderate
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,62,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,62,29,Low income,Low spending,Recent
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,118,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,118,518,Normal income,Normal spending,Recent
6853,1982,Master,Single,75777.0,0,0,2013-07-04,360,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,360,1438,High income,High spending,Moderate
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,660,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,660,612,High income,Normal spending,Inactive
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,496,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,496,884,Normal income,High spending,Inactive
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,383,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,383,606,High income,Normal spending,Moderate
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,205,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,205,1076,High income,High spending,Recent
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,404,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,404,34,Low income,Low spending,Moderate
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,49,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,49,11,Low income,Low spending,Recent
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,102,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,102,1274,High income,High spending,Recent
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,275,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,275,653,High income,Normal spending,Moderate
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,447,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,447,1562,High income,High spending,Moderate
1402,1954,Master,Married,66991.0,0,0,2012-09-11,656,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,656,1253,High income,High spending,Inactive
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,469,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,469,863,High income,High spending,Moderate
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,450,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,450,661,Normal income,Normal spending,Moderate
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,60,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,60,65,Low income,Low spending,Recent
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,557,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,557,13,Normal income,Low spending,Inactive
1859,1972,Master,Married,75251.0,0,0,2012-08-27,671,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,671,1890,High income,High spending,Inactive
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,625,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,625,2209,High income,High spending,Inactive
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,298,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,298,18,Low income,Low spending,Moderate
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,543,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,543,692,Normal income,Normal spending,Inactive
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,669,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,669,165,Low income,Normal spending,Inactive
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,371,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,371,16,Low income,Low spending,Moderate
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,361,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,361,79,Low income,Low spending,Moderate
4119,1963,Master,Together,38620.0,0,0,2013-05-11,414,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,414,318,Low income,Normal spending,Moderate
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,124,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,124,778,High income,Normal spending,Recent
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,322,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,322,56,Low income,Low spending,Moderate
273,1970,Master,Married,36138.0,1,1,2013-07-16,348,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,348,151,Low income,Normal spending,Moderate
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,32,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,32,372,Normal income,Normal spending,Recent
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,48,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,48,1366,High income,High spending,Recent
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,159,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,159,194,Normal income,Normal spending,Recent
11178,1972,Master,Single,42394.0,1,0,2014-03-23,98,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,98,32,Normal income,Low spending,Recent
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,36,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,36,43,Low income,Low spending,Recent
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,38,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,38,45,Low income,Low spending,Recent
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,584,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,584,606,Normal income,Normal spending,Inactive
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,444,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,444,63,Normal income,Low spending,Moderate
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,210,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,210,978,High income,High spending,Recent
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,374,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,374,410,Normal income,Normal spending,Moderate
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,341,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,341,72,Normal income,Low spending,Moderate
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,91,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,91,55,Low income,Low spending,Recent
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,435,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,435,1169,High income,High spending,Moderate
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,408,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,408,1120,High income,High spending,Moderate
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,52,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,52,1097,High income,High spending,Recent
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,201,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,201,29,Low income,Low spending,Recent
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,278,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,278,187,Normal income,Normal spending,Moderate
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,512,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,512,910,Normal income,High spending,Inactive
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,557,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,557,145,Low income,Normal spending,Inactive
10991,1960,Master,Married,89058.0,0,0,2012-12-07,569,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,569,850,High income,High spending,Inactive
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,239,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,239,969,High income,High spending,Recent
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,596,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,596,1820,High income,High spending,Inactive
3267,1963,Master,Together,57288.0,0,1,2014-06-25,4,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,4,608,Normal income,Normal spending,Recent
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,543,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,543,730,High income,Normal spending,Inactive
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,564,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,564,551,Normal income,Normal spending,Inactive
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,292,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,292,114,Normal income,Low spending,Moderate
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,156,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,156,1724,High income,High spending,Recent
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,495,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,495,577,Low income,Normal spending,Inactive
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,353,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,353,81,Low income,Low spending,Moderate
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,227,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,227,33,Low income,Low spending,Recent
9805,1953,Master,Together,56129.0,0,1,2013-06-20,374,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,374,660,Normal income,Normal spending,Moderate
6205,1967,Master,Single,32557.0,1,0,2014-02-24,125,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,125,80,Low income,Low spending,Recent
8442,1985,Master,Married,19510.0,2,0,2013-09-04,298,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,298,30,Low income,Low spending,Moderate
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,433,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,433,43,Low income,Low spending,Moderate
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,474,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,474,1135,High income,High spending,Inactive
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,496,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,496,559,High income,Normal spending,Inactive
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,434,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,434,1923,High income,High spending,Moderate
3381,1953,Master,Married,54348.0,1,1,2014-06-08,21,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,21,90,Normal income,Low spending,Recent
11051,1956,PhD,Together,77376.0,1,1,2014-05-10,50,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,50,661,High income,Normal spending,Recent
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,272,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,272,463,High income,Normal spending,Moderate
433,1958,Master,Alone,61331.0,1,1,2013-03-10,476,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,476,632,Normal income,Normal spending,Inactive
9597,1969,Graduation,Married,73448.0,0,0,2014-02-10,139,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,139,725,High income,Normal spending,Recent
5290,1964,PhD,Married,41551.0,1,1,2013-08-14,319,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,319,279,Normal income,Normal spending,Moderate
1685,1967,PhD,Together,62981.0,0,0,2013-03-17,469,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,469,1482,High income,High spending,Moderate
5342,1976,Basic,Divorced,9548.0,1,0,2012-08-08,690,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,690,29,Low income,Low spending,Inactive
9579,1959,PhD,Married,33762.0,2,1,2013-07-07,357,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,357,106,Low income,Low spending,Moderate
7660,1973,PhD,Alone,35860.0,1,1,2014-05-19,41,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,41,49,Low income,Low spending,Recent
1461,1965,PhD,Divorced,36921.0,1,1,2013-07-28,336,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,336,38,Low income,Low spending,Moderate
821,1992,Master,Single,92859.0,0,0,2012-10-19,618,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,618,2077,High income,High spending,Inactive
11084,1976,Master,Together,65104.0,0,1,2013-11-14,227,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,227,1053,High income,High spending,Recent
8690,1962,Graduation,Married,86111.0,0,0,2013-04-19,436,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,436,1385,High income,High spending,Moderate
2937,1974,PhD,Single,68352.0,0,1,2013-08-28,305,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,305,871,High income,High spending,Moderate
9701,1988,Graduation,Together,41883.0,1,0,2013-03-19,467,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,467,312,Normal income,Normal spending,Moderate
9949,1976,Graduation,Married,59809.0,0,2,2012-10-18,619,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,619,877,Normal income,High spending,Inactive
10837,1975,Graduation,Married,23957.0,1,0,2012-10-28,609,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,609,68,Low income,Low spending,Inactive
3120,1981,Graduation,Together,38547.0,1,0,2013-08-28,305,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,305,22,Low income,Low spending,Moderate
5885,1973,2n Cycle,Married,35688.0,2,1,2012-08-22,676,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,676,211,Low income,Normal spending,Inactive
4050,1966,Master,Married,49605.0,0,0,2014-06-21,8,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,8,127,Normal income,Normal spending,Recent
3830,1953,Master,Married,59354.0,0,2,2014-04-24,66,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,66,459,Normal income,Normal spending,Recent
7987,1969,Graduation,Married,65747.0,0,1,2014-03-07,114,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,114,460,High income,Normal spending,Recent
7798,1972,2n Cycle,Together,46344.0,0,1,2012-12-14,562,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,562,429,Normal income,Normal spending,Inactive
92,1988,Graduation,Alone,34176.0,1,0,2014-05-12,48,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,48,89,Low income,Low spending,Recent
7055,1952,PhD,Together,61010.0,0,1,2012-10-09,628,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,628,1021,Normal income,High spending,Inactive
10240,1949,Graduation,Together,69372.0,0,0,2013-02-19,495,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,495,1381,High income,High spending,Inactive
3025,1958,Graduation,Single,49967.0,0,1,2013-07-08,356,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,356,306,Normal income,Normal spending,Moderate
9283,1978,Graduation,Single,60199.0,1,2,2013-09-12,290,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,290,18,Normal income,Low spending,Moderate
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,255,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,255,162,Normal income,Normal spending,Moderate
2730,1955,Graduation,Single,80317.0,0,0,2013-08-20,313,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,313,1231,High income,High spending,Moderate
2795,1958,Master,Single,30523.0,2,1,2013-07-01,363,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,363,13,Low income,Low spending,Moderate
